session_id,label,packet_length_entropy,interval_variance,dns_query_entropy,tls_sni_length,connection_count,unique_destinations,avg_packet_len,cert_issuer_length,tls_sni,cipher_suites,cert_issuer,ja3_hash
C2_029,1,6.69,278.34,3.56,15,18,2,789.2,15,proxy.malware.io,TLS_AES_128_GCM_SHA256,CN=ProxyOrg,c6d7e8f90a1b2c3d4e5f60718293a4b5
C2_030,1,7.15,145.78,4.34,12,32,1,567.8,20,server.c2-panel.cc,TLS_CHACHA20_POLY1305_SHA256,CN=C2CA,d7e8f90a1b2c3d4e5f60718293a4b5c6
C2_031,1,6.76,234.56,3.67,15,19,2,712.4,16,api.evil-c2.net,TLS_AES_128_GCM_SHA256,CN=APICA,e8f90a1b2c3d4e5f60718293a4b5c6d7
C2_032,1,7.39,112.34,4.56,9,37,1,456.7,24,18934.c2.xyz,TLS_AES_128_GCM_SHA256,CN=CA,f90a1b2c3d4e5f60718293a4b5c6d7e8
C2_033,1,6.86,298.45,3.78,14,23,2,678.9,17,botnet-panel.com,TLS_AES_256_GCM_SHA384,CN=BotnetCA,0a1b2c3d4e5f60718293a4b5c6d7e8f9
C2_034,1,7.26,156.78,4.45,11,30,1,534.2,21,control.evil-bot.net,TLS_AES_128_GCM_SHA256,CN=ControlCA,1a2b3c4d5e6f708192a3b4c5d6e7f809
C2_035,1,6.54,312.67,3.34,16,14,3,834.5,14,gate.c2-command.org,TLS_AES_128_GCM_SHA256,CN=GateCA,2a3b4c5d6e7f8091a2b3c4d5e6f70819
C2_036,1,7.42,87.56,4.89,8,40,1,412.3,25,c2-89234.xyz,TLS_CHACHA20_POLY1305_SHA256,CN=CCCA,3a4b5c6d7e8f90a1b2c3d4e5f60718293
C2_037,1,6.79,234.89,3.67,14,22,2,689.1,16,bot.evil-c2.org,TLS_AES_128_GCM_SHA256,CN=BotOrg,4a5b6c7d8e9f0a1b2c3d4e5f60718293a
C2_038,1,7.33,145.34,4.56,10,35,1,523.4,22,update-panel.xyz,TLS_AES_128_GCM_SHA256,CN=UpdateCA,5a6b7c8d9e0f1a2b3c4d5e6f708192a3
C2_039,1,6.94,201.34,3.89,13,27,2,645.7,18,cdn.botnet.cc,TLS_AES_256_GCM_SHA384,CN=CDNOrg,6a7b8c9d0e1f2a3b4c5d6e7f8091a2b
C2_040,1,7.19,167.89,4.45,11,31,1,556.3,20,server.c2-malware.io,TLS_AES_128_GCM_SHA256,CN=ServerCA,7a8b9c0d1e2f3a4b5c6d7e8f90a1b2c
C2_041,1,6.71,278.56,3.56,15,17,2,756.4,15,proxy.botnet.io,TLS_AES_128_GCM_SHA256,CN=ProxyOrg,8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3
C2_042,1,7.47,98.78,4.78,8,42,1,432.1,26,c2-direct.evil,TLS_CHACHA20_POLY1305_SHA256,CN=DirectOrg,9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4
C2_043,1,6.63,345.67,3.45,16,13,3,845.2,13,api-2.c2-panel.net,TLS_AES_128_GCM_SHA256,CN=API2CA,0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5
C2_044,1,7.31,134.78,4.34,10,36,1,498.6,23,cmd.botnet.xyz,TLS_AES_128_GCM_SHA256,CN=CMDCA,1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6
C2_045,1,6.87,215.34,3.89,12,24,2,667.8,17,control.c2-bot.net,TLS_AES_256_GCM_SHA384,CN=ControlOrg,2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7
C2_046,1,7.24,156.34,4.56,11,33,1,534.2,21,gateway.evil-c2.xyz,TLS_AES_128_GCM_SHA256,CN=GatewayOrg,3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8
C2_047,1,6.98,234.12,3.78,14,20,2,689.4,16,cdn.malware-c2.com,TLS_AES_128_GCM_SHA256,CN=CDNMalware,4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9
C2_048,1,7.52,89.34,4.89,8,43,1,423.5,25,c2-panel-1892.xyz,TLS_CHACHA20_POLY1305_SHA256,CN=PanelCA,5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0
C2_049,1,6.66,312.78,3.45,15,15,2,812.4,14,bot.c2-command.io,TLS_AES_128_GCM_SHA256,CN=BotCmdCA,6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1
BENIGN_000,0,3.45,1234.56,2.12,28,5,6,256.7,85,www.google.com,TLS_AES_128_GCM_SHA256,CN=Google Trust Services,7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2
BENIGN_001,0,4.12,1567.89,2.56,35,8,5,312.4,72,api.facebook.com,TLS_AES_128_GCM_SHA256,CN=DigiCert Inc,8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3
BENIGN_002,0,3.78,1345.67,1.89,42,3,8,198.5,95,www.microsoft.com,TLS_AES_256_GCM_SHA384,CN=Microsoft Corporation,9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4
BENIGN_003,0,4.56,1890.34,2.78,31,7,7,287.3,78,apple.com,TLS_AES_128_GCM_SHA256,CN=Apple Inc.,0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5
BENIGN_004,0,3.21,1456.78,1.67,38,4,9,234.5,92,amazon.com,TLS_AES_128_GCM_SHA256,CN=Amazon,1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6
BENIGN_005,0,4.89,1678.90,2.34,33,6,5,345.6,76,cloudflare.com,TLS_CHACHA20_POLY1305_SHA256,CN=Cloudflare,2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7
BENIGN_006,0,3.67,1234.56,1.98,40,3,7,267.8,88,github.com,TLS_AES_128_GCM_SHA256,CN=GitHub,3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8
BENIGN_007,0,4.34,1567.89,2.56,29,7,6,312.4,74,gitlab.com,TLS_AES_256_GCM_SHA384,CN=GitLab,4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9
BENIGN_008,0,3.12,1345.67,1.45,45,4,8,198.7,96,twitter.com,TLS_AES_128_GCM_SHA256,CN=Twitter,5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0
BENIGN_009,0,4.45,1890.34,2.67,36,8,5,356.8,79,linkedin.com,TLS_AES_128_GCM_SHA256,CN=LinkedIn,6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1
BENIGN_010,0,3.56,1456.78,1.78,41,5,7,234.6,87,www.baidu.com,TLS_AES_128_GCM_SHA256,CN=Baidu,7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2
BENIGN_011,0,4.78,1678.90,2.45,32,6,6,321.4,75,www.alibaba.com,TLS_AES_256_GCM_SHA384,CN=Alibaba,8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3
BENIGN_012,0,3.34,1234.56,1.56,43,4,8,245.7,91,www.tencent.com,TLS_AES_128_GCM_SHA256,CN=Tencent,9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4
BENIGN_013,0,4.67,1567.89,2.34,30,7,6,334.5,77,www.netflix.com,TLS_AES_128_GCM_SHA256,CN=Netflix,0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5
BENIGN_014,0,3.89,1345.67,1.89,38,5,7,278.4,84,www.spotify.com,TLS_CHACHA20_POLY1305_SHA256,CN=Spotify,1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6
BENIGN_015,0,4.23,1890.34,2.78,35,6,5,345.6,80,api.github.com,TLS_AES_128_GCM_SHA256,CN=GitHub API,2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7
BENIGN_016,0,3.45,1456.78,1.67,42,4,8,234.5,90,docs.microsoft.com,TLS_AES_256_GCM_SHA384,CN=Microsoft,3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8
BENIGN_017,0,4.56,1678.90,2.34,34,7,6,312.6,76,developer.apple.com,TLS_AES_128_GCM_SHA256,CN=Apple,4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9
BENIGN_018,0,3.21,1234.56,1.45,46,3,9,198.6,94,console.aws.amazon.com,TLS_AES_128_GCM_SHA256,CN=Amazon,5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0
BENIGN_019,0,4.89,1567.89,2.56,31,8,5,367.8,78,play.google.com,TLS_AES_256_GCM_SHA384,CN=Google,6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1
BENIGN_020,0,3.67,1345.67,1.78,40,5,7,256.7,86,www.wikipedia.org,TLS_AES_128_GCM_SHA256,CN=Wikipedia,7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2
BENIGN_021,0,4.34,1890.34,2.67,33,6,6,334.5,77,stackoverflow.com,TLS_AES_128_GCM_SHA256,CN=Stack Overflow,8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3
BENIGN_022,0,3.12,1456.78,1.56,44,4,8,212.3,93,www.reddit.com,TLS_AES_128_GCM_SHA256,CN=Reddit,9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4
BENIGN_023,0,4.78,1678.90,2.89,29,7,5,387.6,74,www.youtube.com,TLS_CHACHA20_POLY1305_SHA256,CN=YouTube,0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5
BENIGN_024,0,3.56,1234.56,1.89,39,5,7,267.8,85,mail.google.com,TLS_AES_256_GCM_SHA384,CN=Google,1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6
BENIGN_025,0,4.67,1567.89,2.45,36,8,6,345.7,79,www.cloudflare.com,TLS_AES_128_GCM_SHA256,CN=Cloudflare,2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7
BENIGN_026,0,3.34,1345.67,1.67,43,4,8,234.6,92,www.docker.com,TLS_AES_128_GCM_SHA256,CN=Docker,3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8
BENIGN_027,0,4.45,1890.34,2.78,32,7,5,356.8,78,kubernetes.io,TLS_AES_256_GCM_SHA384,CN=Kubernetes,4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9
BENIGN_028,0,3.78,1456.78,1.78,41,5,7,278.5,87,www.python.org,TLS_AES_128_GCM_SHA256,CN=Python,5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0
BENIGN_029,0,4.56,1678.90,2.56,34,6,6,312.5,80,www.npmjs.com,TLS_AES_128_GCM_SHA256,CN=npm,6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1
BENIGN_030,0,3.12,1234.56,1.34,47,3,9,187.6,96,www.oracle.com,TLS_AES_256_GCM_SHA384,CN=Oracle,7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2
BENIGN_031,0,4.89,1567.89,2.67,30,8,5,378.9,75,www.ibm.com,TLS_AES_128_GCM_SHA256,CN=IBM,8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3
BENIGN_032,0,3.67,1345.67,1.89,38,5,7,245.6,86,www.adobe.com,TLS_AES_128_GCM_SHA256,CN=Adobe,9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4
BENIGN_033,0,4.23,1890.34,2.34,35,6,6,334.5,79,www.salesforce.com,TLS_AES_256_GCM_SHA384,CN=Salesforce,0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b
BENIGN_034,0,3.45,1456.78,1.56,42,4,8,223.4,91,www.intel.com,TLS_AES_128_GCM_SHA256,CN=Intel,1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6
BENIGN_035,0,4.78,1678.90,2.78,33,7,5,356.7,77,www.cisco.com,TLS_AES_128_GCM_SHA256,CN=Cisco,2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7
BENIGN_036,0,3.56,1234.56,1.78,40,5,7,267.9,85,www.vmware.com,TLS_CHACHA20_POLY1305_SHA256,CN=VMware,3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8
BENIGN_037,0,4.34,1567.89,2.45,37,8,6,323.4,76,www.sap.com,TLS_AES_256_GCM_SHA384,CN=SAP,4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9
BENIGN_038,0,3.89,1345.67,1.67,44,4,8,234.5,90,www.uber.com,TLS_AES_128_GCM_SHA256,CN=Uber,5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0
BENIGN_039,0,5.01,1789.56,2.89,28,9,4,401.2,72,www.airbnb.com,TLS_AES_128_GCM_SHA256,CN=Airbnb,6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1
BENIGN_040,0,3.23,1345.67,1.56,45,4,8,212.4,93,www.dropbox.com,TLS_AES_256_GCM_SHA384,CN=Dropbox,7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2
BENIGN_041,0,4.56,1567.89,2.34,31,7,6,345.6,78,www.slack.com,TLS_AES_128_GCM_SHA256,CN=Slack,8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3
BENIGN_042,0,3.78,1234.56,1.78,39,5,7,256.8,86,www.atlassian.com,TLS_AES_128_GCM_SHA256,CN=Atlassian,9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4
BENIGN_043,0,4.67,1890.34,2.56,34,6,6,334.6,79,www.zoom.us,TLS_AES_256_GCM_SHA384,CN=Zoom,0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5
BENIGN_044,0,3.34,1456.78,1.45,43,4,9,223.5,92,www.paypal.com,TLS_AES_128_GCM_SHA256,CN=PayPal,1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6
BENIGN_045,0,4.89,1678.90,2.78,32,8,5,367.8,76,www.ebay.com,TLS_AES_128_GCM_SHA256,CN=eBay,2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7
BENIGN_046,0,3.45,1234.56,1.89,41,5,7,245.7,88,www.imdb.com,TLS_CHACHA20_POLY1305_SHA256,CN=IMDb,3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8
BENIGN_047,0,4.12,1567.89,2.34,36,6,6,312.5,80,www.trello.com,TLS_AES_256_GCM_SHA384,CN=Trello,4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9
BENIGN_048,0,3.67,1345.67,1.56,42,4,8,234.6,90,www.figma.com,TLS_AES_128_GCM_SHA256,CN=Figma,5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0
BENIGN_049,0,4.78,1890.34,2.67,30,7,5,356.7,77,www.notion.so,TLS_AES_128_GCM_SHA256,CN=Notion,6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1
WIN_C2_000,1,7.45,123.45,4.56,14,45,2,678.2,20,win-c2-panel.darknet,TLS_AES_128_GCM_SHA256,CN=DarkNetCA,win_c2_000_hash
WIN_C2_001,1,6.89,234.67,3.98,11,38,1,723.4,16,c2.windows-bot.cc,TLS_AES_256_GCM_SHA384,CN=BotCA,win_c2_001_hash
WIN_C2_002,1,7.23,87.34,4.78,9,52,2,556.7,23,update.evil-win.exe,TLS_CHACHA20_POLY1305_SHA256,CN=EvilCA,win_c2_002_hash
WIN_C2_003,1,6.78,345.56,3.67,16,29,3,812.3,15,gateway.c2.win,TLS_AES_128_GCM_SHA256,CN=WinGateCA,win_c2_003_hash
WIN_C2_004,1,7.56,156.78,5.01,10,47,1,489.5,25,panel.windows-c2.xyz,TLS_AES_128_GCM_SHA256,CN=PanelCA,win_c2_004_hash
WIN_C2_005,1,6.95,198.34,3.89,13,35,2,654.2,18,bot.win32-c2.net,TLS_AES_256_GCM_SHA384,CN=Win32BotCA,win_c2_005_hash
WIN_C2_006,1,7.34,112.56,4.45,8,41,2,534.6,22,c2-panel.windows-update.cc,TLS_AES_128_GCM_SHA256,CN=UpdateCA,win_c2_006_hash
WIN_C2_007,1,6.67,278.89,3.56,15,22,3,845.6,14,cmd.win-malware.io,TLS_CHACHA20_POLY1305_SHA256,CN=CMDCA,win_c2_007_hash
WIN_C2_008,1,7.41,89.67,4.89,9,48,1,456.3,26,server.evil-win32.org,TLS_AES_128_GCM_SHA256,CN=EvilOrg,win_c2_008_hash
WIN_C2_009,1,6.82,234.12,3.78,14,33,2,689.7,17,proxy.windows-trojan.com,TLS_AES_128_GCM_SHA256,CN=ProxyCA,win_c2_009_hash
WIN_BENIGN_000,0,3.56,1432.56,2.12,35,6,7,267.8,88,www.windows.com,TLS_AES_128_GCM_SHA256,CN=Microsoft Corporation,win_benign_000
WIN_BENIGN_001,0,4.23,1678.90,2.56,32,8,5,334.5,76,update.microsoft.com,TLS_AES_256_GCM_SHA384,CN=Microsoft,win_benign_001
WIN_BENIGN_002,0,3.12,1234.56,1.78,42,4,8,212.3,94,www.office.com,TLS_AES_128_GCM_SHA256,CN=Microsoft Office,win_benign_002
WIN_BENIGN_003,0,4.67,1890.45,2.34,36,7,6,356.7,79,outlook.office365.com,TLS_CHACHA20_POLY1305_SHA256,CN=Outlook,win_benign_003
WIN_BENIGN_004,0,3.45,1567.34,1.89,40,5,7,245.6,87,api.github.com,TLS_AES_128_GCM_SHA256,CN=GitHub API,win_benign_004
WIN_BENIGN_005,0,4.89,1345.67,2.78,30,6,5,378.9,75,www.stackoverflow.com,TLS_AES_256_GCM_SHA384,CN=StackOverflow,win_benign_005
WIN_BENIGN_006,0,3.34,1890.23,1.56,44,4,8,223.5,92,www.docker.com,TLS_AES_128_GCM_SHA256,CN=Docker,win_benign_006
WIN_BENIGN_007,0,4.56,1456.78,2.45,34,7,6,312.4,78,www.jetbrains.com,TLS_AES_128_GCM_SHA256,CN=JetBrains,win_benign_007
WIN_BENIGN_008,0,3.21,1678.45,1.67,43,5,7,234.6,90,slack.com,TLS_CHACHA20_POLY1305_SHA256,CN=Slack,win_benign_008
WIN_BENIGN_009,0,4.78,1234.56,2.89,31,8,5,367.8,76,zoom.us,TLS_AES_256_GCM_SHA384,CN=Zoom Video,win_benign_009
